"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"Echanges & Relations","Relation avec les Agents",,,,"Relation avec les Agents","Zone","Ensemble des fonctionnalités relatives à la gestion de la relation avec les agents des différentes administrations de l'Etat : communication interne, mise en relation avec les différentes structures, annuaire interne, etc. Ce secteur fonctionnel doit faciliter et homogénéiser les échanges entre le SI et les agents.","B2F5-B32B-4FD1-4906","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Agents",,"Jaune",
"Echanges & Relations","Relation avec les Autorités Administratives",,,,"Relation avec les Autorités Administratives","Zone","Ensemble des fonctionnalités relatives aux échanges avec les autorités administratives.","B2F5-B32B-4FD1-4926","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Autorités Administratives",,"Jaune",
"Echanges & Relations","Relation Fournisseurs",,,,"Relation Fournisseurs","Zone","ensemble des fonctionnalités relatives à la gestion des échanges et de la relation avec les fournisseurs des administrations.","B2F5-B32B-4FD1-4946","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Fournisseurs",,"Jaune",
"Echanges & Relations","Relation Internationale",,,,"Relation Internationale","Zone","ensemble des fonctionnalités relatives aux échanges avec des instances internationales ou des Etats.","B2F5-B32B-4FD1-4956","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Internationale",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Relations & échanges Entreprises",,,"Relations & échanges Entreprises","Quartier","ensemble des fonctionnalités relatives à la gestion de la relation avec les entreprises (le terme entreprise désigne toutes unités légales : entreprise, association, culte, etc. en lien avec l'administration) : suivi des contacts, mise en relation, suivi de dossier, etc. C'est l'équivalent fonctionnel d'une ""gestion de la relation client"" (Customer Relationship Managment) multicanal et crosscanal. Il s'agit donc bien de l'ensemble des fonctionnalités nécessaires à l'usager Entreprise, et ses représentants, et aux agents pour gérer et suivre dans le temps les demandes, les droits et obligations, les services et les paiements de l'Entreprise (ou de l'un de ses représentants), et ce, quelque soit le canal ou le média utilisés (guichet, courrier, téléphone, email, internet...).","B2F5-B32B-4FD1-49B6","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Relations & échanges Entreprises",,"Jaune",
"Données Transverses","Usagers",,,,"Usagers","Zone","Données transverses relatives à l'identification et à la description des Usagers. Le terme usager désigne tous les ""clients"" (client final, donc externe) de l'administration de l'Etat : les personnes physiques et groupes de personnes physiques (famille, foyer...), les entreprises (les unités légales pris au sens large : associations, professionnels, entreprises, etc.), mais aussi les groupes d'entreprises et toutes les personnes physiques qui agissent pour le compte d'une autre personne physique ou d'une entreprise.","B2F5-B32B-4FD1-49C6","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers",,,
"Données Transverses","Autorité Administrative","Agents",,,"Agents","Quartier","Les données « Agent » sont parmi les plus transverses au SI de l'Etat, celles-ci sont consommées dans la plupart des zones du POS, et peuvent être produites par plusieurs zones du POS (RH, en particulier mais pas uniquement). _x000D_
_x000D_
Au sein du POS, le quartier « Agent de l'Etat » doit être utilisé pour identifier dans chaque SI Ministériels l'application qui a vocation à être le référentiel agent (identification du point unique de vérité). Ce référentiel doit porter les fonctions et données suivantes :_x000D_
·	Identification de l'agent et de gestion d'un minimum de données transverses le concernant (identifiant, Etat civil, Poste occupé, etc.)_x000D_
·	Consultation des données, mise à jour, signalement d'erreur avec si besoin de création de référence temporaire (selon les modalités de gouvernance)_x000D_
·	Services de synchronisation ou de resynchronisation_x000D_
·	Services de supervision et de mise en qualité des données (gestion de workflow, administration et modélisation des données, gestion de sécurité d'accès…)","B2F5-B32C-4FD1-4A26","Interministériel::POS du SI des Services Publics Français::Données Transverses::Autorité Administrative::Agents",,,
"Données Transverses","Autorité Administrative",,,,"Autorité Administrative","Zone","Données transverses relatives à la description des administrations (centrales, territoriales, opérateurs...) : les agents, les structures et l'organisation territoriales, et les sites géographiques où sont implantés des structures et des agents des administrations.","B2F5-B32C-4FD1-4A16","Interministériel::POS du SI des Services Publics Français::Données Transverses::Autorité Administrative",,,
"Données Transverses","Autorité Administrative","Contacts et localisations",,,"Contacts et localisations","Quartier","Données transverses relatives aux sites géographiques sur lesquels sont implantées des structures de l'Etat et sont réalisés des activités de l'Etat.","B2F5-B32C-4FD1-4A36","Interministériel::POS du SI des Services Publics Français::Données Transverses::Autorité Administrative::Contacts et localisations",,,
"Données Transverses","Fournisseurs",,,,"Fournisseurs","Zone","Identification et description partagée des fournisseurs de l'Etat","B2F5-B32C-4FD1-4A56","Interministériel::POS du SI des Services Publics Français::Données Transverses::Fournisseurs",,,
"Données Transverses","Information géographiques",,,,"Information géographiques","Zone","Données tranverses relatives à la géographie du territoire ou la description d'éléments d'infrastructures géographiquement localisables : topographie, adresses, hydrographie, bâtiments, infrastructure de transport, parcelles, etc.","B2F5-B32C-4FD1-4A76","Interministériel::POS du SI des Services Publics Français::Données Transverses::Information géographiques",,,
"Données Transverses","Nomenclatures",,,,"Nomenclatures","Zone","Identification et description des données de types nomenclatures (ontologie, thesaurus, taxonomie, etc.), transverses à l'Etat, et utilisées pour classifier, structurer les données manipulées par l'Etat, ses partenaires et les usagers.","B2F5-B32C-4FD1-4A86","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures",,,
"Données Transverses","Usagers","Personnes",,,"Personnes","Quartier","Données transverses relatives à l'identification et la description des personnes (être humain unique).","B2F5-B32C-4FD1-49D6","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Personnes",,,
"Données Transverses","Profils & Habilitations",,,,"Profils & Habilitations","Zone","Données transverses relatives aux profils et habilitations des utilisateurs du SI de l'Etat, quelque soit les fonctionnalités utilisées et le moyen d'accès._x000D_
_x000D_
Permet de décrire le rôle de l'agent dans le SI en définissant les différentes composantes de son périmètre d'intervention :_x000D_
-   Périmètre applicatif_x000D_
-   Périmètre de population_x000D_
-   Périmètre des données_x000D_
-   Périmètre des actions","B2F5-B32C-4FD1-4A66","Interministériel::POS du SI des Services Publics Français::Données Transverses::Profils & Habilitations",,,
"Données Transverses","Autorité Administrative","Structures et Organisations",,,"Structures et Organisations","Quartier","Description de l'organisation des administrations de l'Etat, des opérateurs et des établissements publics sous tutelles (identification des structures et des organigrammes)","B2F5-B32C-4FD1-4A46","Interministériel::POS du SI des Services Publics Français::Données Transverses::Autorité Administrative::Structures et Organisations",,,
"Données Transverses","Usagers","Unités Légales",,,"Unités Légales","Quartier","Données transverses relatives à l'identification et la description des professionnels ou entreprises (associations, entreprises individuelles, personnes morales, organisations de l'Etat, collectivités, etc.)","B2F5-B32C-4FD1-49F6","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Unités Légales",,,
"Données Transverses","Droit, Textes législatifs & réglementaires",,,,"Droit, Textes législatifs & réglementaires","Zone","Données transverses relatives au droit, aux textes législatifs et à la réglementation associée","B2F5-B32D-4FD1-4AC6","Interministériel::POS du SI des Services Publics Français::Données Transverses::Droit, Textes législatifs & réglementaires",,,
"Données Transverses","Nomenclatures","Nomenclature Budgétaire",,,"Nomenclature Budgétaire","Quartier","Données transverses de nomenclature, relatives à l'organisation, la classification, la structure des crédits budgétaires de l'Etat","B2F5-B32D-4FD1-4A96","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Nomenclature Budgétaire",,,
"Données Transverses","Nomenclatures","Nomenclature comptable",,,"Nomenclature comptable","Quartier","Données tranverses de nomenclature, relatives à la structure du plan comptable général de l'Etat","B2F5-B32D-4FD1-4AB6","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Nomenclature comptable",,,
"Données Transverses","Biens immobiliers",,,,"Biens immobiliers","Zone","Données transverses relatives à l'identification et la description des biens immobiliers (bâtiments et terrains) dont l'Etat est propriétaire ou locataire.","0191-159D-50A5-1A3B","Interministériel::POS du SI des Services Publics Français::Données Transverses::Biens immobiliers",,,
"Données Transverses","Services",,,,"Services","Zone","Données transverses relatives à l'identification et la description des prestations et services réalisées par les autorités administratives aux profits des usagers ou d'autres acteurs internes de l'Etat.","0191-1650-50A5-1A7E","Interministériel::POS du SI des Services Publics Français::Données Transverses::Services",,,
"Données Transverses","Nomenclatures","Nomenclature RH","Référentiels RH",,"Référentiels RH","Bloc","Permet de définir l’ensemble des référentiels nécessaires au fonctionnement de la RH (données individuelles, GPEC, Formation, absences, ..)","0191-176E-50A5-1AD1","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Nomenclature RH::Référentiels RH",,,
